sym	name	type	EnsemblID	EntrezGeneID	OMIMID	RefSeqID	UniProtID	UCSCID	start	end	strand	GO_C	GO_F	GO_P	HPAclass	HPAlocation	HPAprognostic	HPAcancerCat	HPAtissueCat	HPAspecificExpr	HPAnonSpecificExpr
FAM83C	family with sequence similarity 83 member C	protein	ENSG00000125998	128876	NA	NM_178468	Q9BQN1	uc021wck.2	35285731	35292401	-1	NA	GO:0019899	NA	Plasma proteins, Predicted intracellular proteins	NA	NA	Tissue enhanced	Group enriched	esophagus: 19.8;skin: 43.0	tonsil: 1.8
FAM83D	family with sequence similarity 83 member D	protein	ENSG00000101447	81610	NA	NM_030919	Q9H4H8	uc061wzh.1	38926312	38953106	1	GO:0005737	GO:0008092	GO:0051301	Predicted intracellular proteins	NA	Renal cancer:1.81e-14 (unfavourable), Liver cancer:5.44e-6 (unfavourable), Pancreatic cancer:4.73e-5 (unfavourable), Endometrial cancer:1.49e-4 (unfavourable), Lung cancer:9.69e-4 (unfavourable)	Mixed	Tissue enhanced	esophagus: 76.1;smooth muscle: 131.9	prostate: 21.8
FAM110A	family with sequence similarity 110 member A	protein	ENSG00000125898	83541	611393	NM_001042353	Q9BQ89	uc002wef.3	833715	857463	1	GO:0005815	GO:0003674	NA	Predicted intracellular proteins	Nucleus<br>Vesicles<br>Cytosol	Renal cancer:4.42e-4 (unfavourable)	Expressed in all	Tissue enhanced	skin: 31.3	spleen: 21.3
FAM209A	family with sequence similarity 209 member A	protein	ENSG00000124103	200232	NA	NM_001012971	Q5JX71	uc002xxx.4	56517187	56526142	1	GO:0005634	GO:0003674	GO:0008150	Predicted membrane proteins	NA	NA	Not detected	Tissue enriched	testis: 100.6	bone marrow: 9.6
FAM209B	family with sequence similarity 209 member B	protein	ENSG00000213714	388799	NA	NM_001013646	Q5JX69	uc002xxz.5	56533246	56536520	1	GO:0005634	NA	NA	Predicted membrane proteins	NA	NA	Mixed	Tissue enriched	testis: 112.5	bone marrow: 5.0
FAM210B	family with sequence similarity 210 member B	protein	ENSG00000124098	116151	NA	NM_080821	Q96KR6	uc002xxc.4	56358915	56368663	1	GO:0005575	NA	GO:0021700	Predicted intracellular proteins, Predicted membrane proteins	Plasma membrane<br>Cytosol	Renal cancer:1.44e-10 (favourable), Lung cancer:4.26e-4 (favourable), Cervical cancer:5.44e-4 (favourable)	Expressed in all	Expressed in all	NA	ovary: 131.4
FAM217B	family with sequence similarity 217 member B	protein	ENSG00000196227	63939	NA	NM_001190826	Q9NTX9	uc002yba.4	59933764	59948680	1	GO:0005654	NA	NA	Predicted intracellular proteins	Nucleoplasm	NA	Expressed in all	Mixed	NA	cerebral cortex: 34.9
FASTKD5	FAST kinase domains 5	protein	ENSG00000215251	60493	614272	NM_021826	Q7L8L6	uc002whz.5	3146519	3159897	-1	GO:0005739	GO:0019843	GO:0006091	Predicted intracellular proteins	NA	Renal cancer:8.19e-8 (favourable), Liver cancer:4.05e-5 (unfavourable)	Expressed in all	Expressed in all	NA	bone marrow: 22.9
FERMT1	fermitin family member 1	protein	ENSG00000101311	55612	607900	NM_017671	Q9BQL6	uc002wmr.3	6074845	6123544	-1	GO:0032991	NA	GO:0030198	Disease related genes, Predicted intracellular proteins	NA	Pancreatic cancer:6.60e-4 (unfavourable)	Expressed in all	Mixed	NA	rectum: 30.8
FITM2	fat storage inducing transmembrane protein 2	protein	ENSG00000197296	128486	612029	NM_001080472	Q8N6M3	uc002xlr.2	44302838	44311169	-1	GO:0005739	GO:0003674	GO:0007010	Predicted membrane proteins	NA	Renal cancer:8.98e-12 (favourable)	Expressed in all	Tissue enhanced	heart muscle: 40.1	parathyroid gland: 24.1
FKBP1A	FK506 binding protein 1A	protein	ENSG00000088832	2280	186945	NM_000801	P62942	uc002wey.4	1368978	1393172	-1	GO:0005783	GO:0016853	GO:0051604	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	NA	Liver cancer:3.44e-7 (unfavourable), Renal cancer:6.69e-5 (unfavourable)	Expressed in all	Expressed in all	NA	thyroid gland: 369.7
FLRT3	fibronectin leucine rich transmembrane protein 3	protein	ENSG00000125848	23767	604808	NM_013281	Q9NZU0	uc002wow.3	14322988	14337616	-1	GO:0005578	GO:0030674	GO:0040007	Disease related genes, Predicted membrane proteins	Plasma membrane<br>Cell Junctions<br>Cytosol	Renal cancer:1.49e-7 (favourable), Lung cancer:9.85e-5 (unfavourable), Pancreatic cancer:1.54e-4 (unfavourable)	Expressed in all	Mixed	NA	lung: 32.3
FNDC11	fibronectin type III domain containing 11	protein	ENSG00000125531	79025	NA	NM_001319152	Q9BVV2	uc002yfj.4	63547891	63556708	1	GO:0043226	GO:0003674	NA	Predicted intracellular proteins	Nucleoplasm<br>Vesicles<br>Aggresome	NA	Mixed	Tissue enriched	testis: 53.0	epididymis: 2.8
FOXA2	forkhead box A2	protein	ENSG00000125798	3170	600288	NM_021784	Q9Y261	uc002wsn.4	22581005	22585455	-1	GO:0005654	GO:0008134	GO:0048646	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Nucleoplasm<br>Cell Junctions	Endometrial cancer:7.57e-6 (favourable), Pancreatic cancer:2.34e-4 (favourable), Ovarian cancer:6.28e-4 (favourable)	Mixed	Tissue enhanced	cervix, uterine: 21.4;lung: 20.5;stomach: 31.0	liver: 11.5
FOXS1	forkhead box S1	protein	ENSG00000179772	2307	602939	NM_004118	O43638	uc002wwt.2	31844301	31845619	-1	GO:0005634	GO:0003700	GO:0050877	Predicted intracellular proteins, Transcription factors	Nucleoplasm<br>Cytosol	Renal cancer:1.10e-8 (unfavourable)	Expressed in all	Mixed	NA	placenta: 7.0
GATA5	GATA binding protein 5	protein	ENSG00000130700	140628	611496	NM_080473	Q9BWX5	uc002ycx.1	62463497	62475970	-1	GO:0005654	GO:0008134	GO:0030154	Disease related genes, Predicted intracellular proteins, Transcription factors	Nucleoplasm<br>Cytosol	NA	Tissue enhanced	Tissue enhanced	duodenum: 11.4;small intestine: 11.0;testis: 8.7	stomach: 7.5
GCNT7	glucosaminyl (N-acetyl) transferase family member 7	protein	ENSG00000124091	140687	NA	NM_080615	Q6ZNI0	uc061xww.1	56491492	56525925	-1	GO:0005575	GO:0016757	GO:0006464	Predicted intracellular proteins, Predicted secreted proteins	NA	NA	Not detected	Tissue enriched	bone marrow: 2.8	skin,testis: 0.5
GDAP1L1	ganglioside induced differentiation associated protein 1 like 1	protein	ENSG00000124194	78997	NA	NM_001256737	Q96MZ0	uc002xlq.5	44247099	44280917	1	GO:0005737	GO:0016765	GO:0006790	Predicted intracellular proteins, Predicted membrane proteins	Endoplasmic reticulum	NA	Tissue enriched	Tissue enriched	cerebral cortex: 55.6	adrenal gland: 2.8
GDF5	growth differentiation factor 5	protein	ENSG00000125965	8200	601146	NM_000557	P43026	uc032phz.2	35433347	35454746	-1	GO:0005615	GO:0003674	GO:0006913	Disease related genes, Plasma proteins, Predicted secreted proteins	NA	NA	Tissue enriched	Tissue enhanced	salivary gland: 4.1	seminal vesicle: 1.7
GDF5OS	growth differentiation factor 5 opposite strand	protein	ENSG00000204183	554250	NA	NG_008076	Q5U4N7	uc061wmk.1	35433029	35435450	1	GO:0005739	NA	NA	Predicted intracellular proteins	NA	NA	Not detected	Not detected	NA	adipose tissue: 0.3
GFRA4	GDNF family receptor alpha 4	protein	ENSG00000125861	64096	NA	NM_022139	Q9GZZ7	uc002wio.4	3659292	3663399	-1	GO:0005622	GO:0004871	GO:0006464	Predicted secreted proteins	NA	NA	Tissue enhanced	Tissue enhanced	thyroid gland: 1.4	testis: 0.3
GGT7	gamma-glutamyltransferase 7	protein	ENSG00000131067	2686	612342	NM_178026	Q9UJ14	uc002xay.4	34844720	34872860	-1	GO:0005575	GO:0016746	GO:0006790	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Nucleus<br>Vesicles	Endometrial cancer:1.26e-5 (unfavourable)	Expressed in all	Expressed in all	NA	cerebral cortex,parathyroid gland: 50.0
GGTLC1	gamma-glutamyltransferase light chain 1	protein	ENSG00000149435	92086	612338	NM_178311	Q9BX51	uc002wtu.3	23985050	23988779	-1	GO:0005575	GO:0008233	GO:0006790	Predicted intracellular proteins	NA	NA	Tissue enriched	Group enriched	lung: 38.7;testis: 15.8	thyroid gland: 1.9
GHRH	growth hormone releasing hormone	protein	ENSG00000118702	2691	139190	NM_001184731	P01286	uc002xgs.5	37251082	37261835	-1	GO:0005622	GO:0003674	GO:0007267	Predicted secreted proteins	NA	NA	Tissue enriched	Tissue enhanced	adrenal gland: 1.4;duodenum: 3.4	small intestine: 1.2
GID8	GID complex subunit 8 homolog	protein	ENSG00000101193	54994	611625	NM_017896	Q9NWU2	uc002ydy.4	62938119	62948475	1	GO:0005654	GO:0003674	NA	Predicted intracellular proteins	Nucleoplasm<br>Cell Junctions	Renal cancer:3.22e-4 (favourable), Endometrial cancer:4.78e-4 (unfavourable)	Expressed in all	Expressed in all	NA	fallopian tube: 32.5
GINS1	GINS complex subunit 1	protein	ENSG00000101003	9837	610608	NM_021067	Q14691	uc002wuv.2	25407727	25452628	1	GO:0005654	GO:0004386	GO:0051276	Predicted intracellular proteins	Nucleoplasm	Renal cancer:5.42e-11 (unfavourable), Liver cancer:4.61e-7 (unfavourable), Pancreatic cancer:5.62e-4 (unfavourable)	Expressed in all	Tissue enhanced	testis: 14.7	lymph node: 6.5
GMEB2	glucocorticoid modulatory element binding protein 2	protein	ENSG00000101216	26205	607451	NM_012384	Q9UKD1	uc002yfq.2	63587602	63627041	-1	GO:0005654	GO:0000988	GO:0009058	Predicted intracellular proteins, Transcription factors	Nucleoplasm	NA	Expressed in all	Expressed in all	NA	testis: 12.8
GNAS	GNAS complex locus	protein	ENSG00000087460	2778	139320	NM_000516	O95467, P63092, P84996, Q5JWF2	uc061ybx.1	58839718	58911192	1	GO:0032991	GO:0003924	GO:0040007	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Nucleoplasm<br>Plasma membrane<br>Cytosol	Renal cancer:3.49e-4 (unfavourable), Ovarian cancer:8.76e-4 (favourable)	Expressed in all	Expressed in all	NA	thyroid gland: 1473.9
GNRH2	gonadotropin releasing hormone 2	protein	ENSG00000125787	2797	602352	NM_001310220	O43555	uc002whr.2	3043622	3045747	1	GO:0005576	GO:0003674	GO:0048856	Predicted secreted proteins	NA	NA	Tissue enhanced	Mixed	NA	ovary: 2.7
GPCPD1	glycerophosphocholine phosphodiesterase 1	protein	ENSG00000125772	56261	614124	NM_019593	Q9NPB8	uc002wme.6	5544404	5611026	-1	GO:0005829	GO:0003674	GO:0006629	Enzymes, Predicted intracellular proteins	Nucleoplasm	Endometrial cancer:1.30e-4 (favourable), Renal cancer:3.73e-4 (unfavourable)	Expressed in all	Expressed in all	NA	bone marrow: 46.5
GSS	glutathione synthetase	protein	ENSG00000100983	2937	601002	NM_000178	P48637	uc002xbg.4	34928430	34955817	-1	GO:0005829	GO:0016874	GO:0007568	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Nucleus	Renal cancer:7.31e-6 (favourable), Liver cancer:7.21e-5 (unfavourable)	Expressed in all	Expressed in all	NA	epididymis: 105.8
GTSF1L	gametocyte specific factor 1 like	protein	ENSG00000124196	149699	NA	NM_001008901	Q9H1H1	uc002xld.4	43726164	43726998	-1	NA	GO:0043167	NA	Predicted intracellular proteins	Nucleoli	NA	Tissue enriched	Tissue enriched	testis: 269.9	lymph node: 1.6
GZF1	GDNF inducible zinc finger protein 1	protein	ENSG00000125812	64412	613842	NM_001317012	Q9H116	uc002wsy.4	23362182	23373063	1	GO:0005730	GO:0003700	GO:0009058	Predicted intracellular proteins, Transcription factors	Nucleus<br>Nucleoli	Liver cancer:9.81e-7 (unfavourable)	Expressed in all	Expressed in all	NA	adrenal gland: 25.3
HAO1	hydroxyacid oxidase 1	protein	ENSG00000101323	54363	605023	NM_017545	Q9UJM8	uc002wmw.2	7882981	7940474	-1	GO:0005777	GO:0016491	GO:0006629	Enzymes, Predicted intracellular proteins	NA	NA	Tissue enriched	Tissue enriched	liver: 308.6	kidney: 1.0
HCK	HCK proto-oncogene, Src family tyrosine kinase	protein	ENSG00000101336	3055	142370	NM_001172129	P08631	uc061wdn.1	32052188	32101856	1	GO:0005764	GO:0016301	GO:0044403	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Nucleoplasm<br>Plasma membrane	Renal cancer:1.66e-4 (unfavourable)	Expressed in all	Tissue enhanced	appendix: 149.6;spleen: 113.2	lung: 74.1
HELZ2	helicase with zinc finger 2	protein	ENSG00000130589	85441	611265	NM_001037335	Q9BYK8	uc061ynp.1	63558086	63574239	-1	GO:0005654	GO:0004386	GO:0009058	Plasma proteins, Predicted intracellular proteins	NA	Testis cancer:4.92e-4 (unfavourable)	Expressed in all	Mixed	NA	spleen: 15.2
HM13	histocompatibility minor 13	protein	ENSG00000101294	81502	607106	NM_030789	Q8TCT9	uc002wwc.5	31514428	31577923	1	GO:0005783	GO:0008233	GO:0065003	Enzymes, Plasma proteins, Predicted membrane proteins	Endoplasmic reticulum	Renal cancer:4.64e-12 (unfavourable), Liver cancer:1.95e-5 (unfavourable)	Expressed in all	Expressed in all	NA	cervix, uterine: 154.2
HNF4A	hepatocyte nuclear factor 4 alpha	protein	ENSG00000101076	3172	600281	NM_000457	P41235	uc002xlt.4	44355700	44434596	1	GO:0005654	GO:0008134	GO:0006520	Disease related genes, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Nucleoplasm	NA	Tissue enhanced	Group enriched	colon: 58.0;duodenum: 103.0;kidney: 44.7;liver: 51.0;rectum: 47.8;small intestine: 90.9;stomach: 21.9	gallbladder: 9.2
HRH3	histamine receptor H3	protein	ENSG00000101180	11255	604525	NM_007232	Q9Y5N1	uc002ycf.3	62214970	62220267	-1	GO:0005886	GO:0004871	GO:0050877	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	NA	NA	Mixed	Tissue enriched	cerebral cortex: 11.1	adrenal gland: 0.6
HSPA12B	heat shock protein family A (Hsp70) member 12B	protein	ENSG00000132622	116835	610702	NM_001197327	Q96MM6	uc002wjd.4	3732667	3753111	1	NA	GO:0043167	NA	Plasma proteins, Predicted intracellular proteins	NA	NA	Expressed in all	Mixed	NA	spleen: 25.4
ID1	inhibitor of DNA binding 1, HLH protein	protein	ENSG00000125968	3397	600349	NM_002165	P41134	uc002wwg.3	31605283	31606515	1	GO:0005815	GO:0008134	GO:0000902	Cancer-related genes, Plasma proteins, Predicted secreted proteins, Transcription factors	Nucleoplasm<br>Golgi apparatus	Lung cancer:4.85e-4 (unfavourable)	Expressed in all	Expressed in all	NA	seminal vesicle: 213.9
IDH3B	isocitrate dehydrogenase 3 (NAD(+)) beta	protein	ENSG00000101365	3420	604526	NM_001258384	O43837	uc002wgp.4	2658395	2664219	-1	GO:0005739	GO:0016491	GO:0006091	Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Mitochondria	Renal cancer:6.78e-8 (favourable), Liver cancer:1.59e-4 (unfavourable)	Expressed in all	Expressed in all	NA	parathyroid gland: 100.5
IFT52	intraflagellar transport 52	protein	ENSG00000101052	51098	617094	NM_001303458	Q9Y366	uc002xkw.4	43590931	43647296	1	GO:0005929	GO:0003674	GO:0030705	Disease related genes, Predicted intracellular proteins	Cytosol	Liver cancer:3.30e-6 (unfavourable), Testis cancer:3.33e-4 (favourable)	Expressed in all	Expressed in all	NA	fallopian tube: 61.3
INSM1	INSM transcriptional repressor 1	protein	ENSG00000173404	3642	600010	NM_002196	Q01101	uc002wrx.4	20368121	20370949	1	GO:0005654	GO:0003700	GO:0007049	Predicted intracellular proteins, Transcription factors	NA	NA	Mixed	Tissue enhanced	adrenal gland: 9.3;stomach: 5.6	duodenum: 3.0
ISM1	isthmin 1	protein	ENSG00000101230	140862	615793	NM_080826	B1AKI9	uc010gce.2	13221771	13300651	1	GO:0005576	NA	NA	Predicted secreted proteins	NA	Renal cancer:9.32e-6 (unfavourable)	Expressed in all	Tissue enhanced	thyroid gland: 74.7	placenta: 24.8
ITCH	itchy E3 ubiquitin protein ligase	protein	ENSG00000078747	83737	606409	NM_001257137	Q96J02	uc002xak.3	34363235	34511393	1	GO:0005768	GO:0016874	GO:0008219	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Nucleoplasm	NA	Expressed in all	Expressed in all	NA	testis: 73.2
ITPA	inosine triphosphatase	protein	ENSG00000125877	3704	147520	NM_001267623	Q9BY32	uc002wid.4	3208868	3223870	1	GO:0005737	GO:0043167	GO:0034655	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Cytosol	Liver cancer:2.54e-5 (unfavourable)	Expressed in all	Expressed in all	NA	fallopian tube: 40.3
JAG1	jagged 1	protein	ENSG00000101384	182	601920	NM_000214	P78504	uc002wnw.3	10637684	10674107	-1	GO:0005576	GO:0008289	GO:0048646	CD markers, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Golgi apparatus<br>Plasma membrane	Pancreatic cancer:4.10e-6 (unfavourable)	Expressed in all	Expressed in all	NA	placenta: 97.1
JPH2	junctophilin 2	protein	ENSG00000149596	57158	605267	NM_020433	Q9BR39	uc002xli.2	44111695	44187578	-1	GO:0005886	GO:0008289	GO:0055085	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	NA	NA	Mixed	Tissue enhanced	skeletal muscle: 72.1;smooth muscle: 56.0	seminal vesicle: 47.8
KAT14	lysine acetyltransferase 14	protein	ENSG00000149474	57325	617501	NM_020536	Q9H8E8	uc021wbb.2	18138118	18188387	1	GO:0005737	GO:0016746	GO:0006464	Predicted intracellular proteins	Vesicles	Renal cancer:4.64e-5 (favourable)	Expressed in all	Expressed in all	NA	parathyroid gland: 21.4
KCNB1	potassium voltage-gated channel subfamily B member 1	protein	ENSG00000158445	3745	600397	NM_004975	Q14721	uc002xur.3	49293394	49484297	-1	GO:0005886	GO:0022857	GO:0055085	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	NA	NA	Mixed	Tissue enhanced	adipose tissue: 10.9;cerebral cortex: 21.6	fallopian tube,smooth muscle: 7.4
KCNG1	potassium voltage-gated channel modifier subfamily G member 1	protein	ENSG00000026559	3755	603788	NM_002237	Q9UIX4	uc002xwa.5	51003656	51023129	-1	GO:0005886	GO:0022857	GO:0055085	Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels	Vesicles	NA	Tissue enhanced	Tissue enhanced	endometrium: 23.4;seminal vesicle: 18.1	placenta: 10.1
KCNK15	potassium two pore domain channel subfamily K member 15	protein	ENSG00000124249	60598	607368	NM_022358	Q9H427	uc002xmr.4	44745780	44752313	1	GO:0005886	GO:0022857	GO:0055085	Predicted membrane proteins, Transporters, Voltage-gated ion channels	NA	Cervical cancer:3.68e-4 (unfavourable)	Tissue enriched	Tissue enhanced	fallopian tube: 8.0	testis: 2.9
KCNQ2	potassium voltage-gated channel subfamily Q member 2	protein	ENSG00000075043	3785	602235	NM_004518	O43526	uc002yey.2	63400210	63472677	-1	GO:0005886	GO:0008092	GO:0007267	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Endoplasmic reticulum	NA	Tissue enriched	Tissue enriched	cerebral cortex: 57.2	testis: 8.2
KCNS1	potassium voltage-gated channel modifier subfamily S member 1	protein	ENSG00000124134	3787	602905	NM_001322799	Q96KK3	uc002xnc.4	45092310	45101112	-1	GO:0005886	GO:0022857	GO:0055085	Predicted membrane proteins, Transporters, Voltage-gated ion channels	NA	Ovarian cancer:6.45e-4 (unfavourable)	Tissue enhanced	Tissue enhanced	cerebral cortex: 9.3;gallbladder: 3.8;seminal vesicle: 4.2	testis: 1.7
KIAA1755	KIAA1755	protein	ENSG00000149633	85449	NA	NM_001029864	Q5JYT7	uc002xhy.2	38210488	38260772	-1	NA	NA	NA	Predicted intracellular proteins	Nucleoli<br>Golgi apparatus<br>Vesicles	NA	Tissue enhanced	Mixed	NA	cerebral cortex: 33.6
KIF3B	kinesin family member 3B	protein	ENSG00000101350	9371	603754	NM_004798	O15066	uc002wxq.4	32277664	32335011	1	GO:0005929	GO:0016887	GO:0030705	Plasma proteins, Predicted intracellular proteins	Nucleoplasm<br>Nucleoli<br>Golgi apparatus	Renal cancer:1.44e-12 (favourable)	Expressed in all	Expressed in all	NA	parathyroid gland: 80.8
KIF16B	kinesin family member 16B	protein	ENSG00000089177	55614	NA	NM_001199865	Q96L93	uc002wpg.3	16272104	16573434	-1	GO:0005768	GO:0016887	GO:0048646	Predicted intracellular proteins	Mitochondria	Renal cancer:7.61e-6 (favourable)	Expressed in all	Expressed in all	NA	parathyroid gland: 42.9
KIZ	kizuna centrosomal protein	protein	ENSG00000088970	55857	615757	NM_001163022	Q2M2Z5	NA	21125983	21246622	1	GO:0005815	GO:0019899	GO:0007010	Disease related genes, Predicted intracellular proteins	NA	Renal cancer:4.11e-8 (unfavourable), Endometrial cancer:4.45e-4 (favourable)	Expressed in all	Expressed in all	NA	testis: 82.2
L3MBTL1	L3MBTL1, histone methyl-lysine binding protein	protein	ENSG00000185513	26013	608802	NM_015478	Q9Y468	uc002xkl.4	43507680	43550950	1	GO:0005694	GO:0042393	GO:0048856	Predicted intracellular proteins, Transcription factors	Nucleus	NA	Mixed	Mixed	NA	testis: 10.1
LAMA5	laminin subunit alpha 5	protein	ENSG00000130702	3911	601033	NM_005560	O15230	uc002ycq.5	62307955	62367312	-1	GO:0005615	GO:0003674	GO:0000902	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Nucleoplasm<br>Vesicles	NA	Expressed in all	Tissue enhanced	skin: 42.1	placenta: 28.9
LAMP5	lysosomal associated membrane protein family member 5	protein	ENSG00000125869	24141	614641	NM_001199897	Q9UJQ1	uc002wni.3	9514358	9530524	1	GO:0005886	NA	NA	Predicted membrane proteins	Mitotic spindle<br>Microtubule organizing center<br>Cytosol	Renal cancer:6.46e-6 (unfavourable)	Expressed in all	Tissue enhanced	cerebral cortex: 44.9;ovary: 24.6	fallopian tube: 14.9
LBP	lipopolysaccharide binding protein	protein	ENSG00000129988	3929	151990	NM_004139	P18428	uc002xic.3	38346356	38377023	1	GO:0005615	GO:0008289	GO:0048870	Plasma proteins, Predicted secreted proteins, Transporters	NA	Renal cancer:3.62e-12 (unfavourable), Cervical cancer:5.56e-4 (unfavourable), Stomach cancer:5.76e-4 (unfavourable)	Tissue enriched	Group enriched	adipose tissue: 69.3;liver: 264.7	appendix: 31.3
LIME1	Lck interacting transmembrane adaptor 1	protein	ENSG00000203896	54923	609809	NM_001305654	Q9H400	uc002ygp.5	63736283	63739103	1	GO:0005615	NA	GO:0002376	Predicted secreted proteins	NA	Urothelial cancer:6.92e-6 (favourable), Renal cancer:5.04e-5 (unfavourable)	Expressed in all	Tissue enhanced	liver: 19.6;stomach: 17.6	kidney: 15.2
LKAAEAR1	LKAAEAR motif containing 1	protein	ENSG00000171695	198437	NA	NM_001007125	Q8TD35	NA	64083380	64084359	-1	NA	NA	NA	Predicted intracellular proteins	Nucleus	NA	Mixed	Tissue enhanced	testis: 2.7	cerebral cortex: 0.8
LPIN3	lipin 3	protein	ENSG00000132793	64900	605520	NM_001301860	Q9BQK8	uc284pre.1	41340920	41360582	1	GO:0005634	GO:0016791	GO:0006629	Enzymes, Predicted intracellular proteins	Cytosol	Renal cancer:1.14e-5 (unfavourable), Ovarian cancer:1.74e-4 (unfavourable), Endometrial cancer:9.74e-4 (unfavourable)	Expressed in all	Mixed	NA	skin: 48.5
LRRN4	leucine rich repeat neuronal 4	protein	ENSG00000125872	164312	NA	NM_152611	Q8WUT4	uc002wmo.4	6040778	6054049	-1	GO:0043226	NA	GO:0050877	Predicted membrane proteins	Nucleoli<br>Cytosol	NA	Group enriched	Tissue enriched	lung: 13.5	fallopian tube: 1.2
LSM14B	LSM family member 14B	protein	ENSG00000149657	149986	NA	NM_144703	Q9BX40	uc010gjy.2	62122461	62135378	1	GO:0032991	GO:0003723	GO:0048856	Predicted intracellular proteins	Nucleoli fibrillar center<br>Vesicles	Liver cancer:3.61e-5 (unfavourable)	Expressed in all	Expressed in all	NA	testis: 78.8
LZTS3	leucine zipper tumor suppressor family member 3	protein	ENSG00000088899	9762	610484	NM_001282533	O60299	NA	3162617	3173592	-1	GO:0005856	NA	GO:0008150	Predicted intracellular proteins	Vesicles	Renal cancer:5.92e-8 (favourable), Endometrial cancer:7.26e-4 (unfavourable), Lung cancer:7.98e-4 (favourable)	Expressed in all	Tissue enhanced	cerebral cortex: 58.6	parathyroid gland: 20.3
MACROD2	MACRO domain containing 2	protein	ENSG00000172264	140733	611567	NM_001033087	A1Z1Q3	uc002wot.4	13995369	16053197	1	GO:0005815	GO:0016798	GO:0044281	Predicted intracellular proteins	Nucleus<br>Nucleoli<br>Centrosome	NA	Mixed	Mixed	NA	lung: 16.2
MAFB	MAF bZIP transcription factor B	protein	ENSG00000204103	9935	608968	NM_005461	Q9Y5Q3	uc002xji.4	40685848	40689240	-1	GO:0032991	GO:0008134	GO:0048646	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Nucleus<br>Nucleoli<br>Golgi apparatus<br>Cytosol	Endometrial cancer:5.64e-4 (unfavourable)	Expressed in all	Tissue enriched	parathyroid gland: 689.3	spleen: 102.0
MANBAL	mannosidase beta like	protein	ENSG00000101363	63905	NA	NM_001003897	Q9NQG1	uc002xgv.4	37289638	37317260	1	GO:0005575	GO:0003674	NA	Predicted membrane proteins	Nucleus<br>Mitochondria	Renal cancer:3.62e-4 (favourable), Liver cancer:7.07e-4 (unfavourable)	Expressed in all	Expressed in all	NA	smooth muscle: 96.2
MAP1LC3A	microtubule associated protein 1 light chain 3 alpha	protein	ENSG00000101460	84557	601242	NM_032514	Q9H492	uc002xaq.3	34546854	34560345	1	GO:0005764	GO:0008289	GO:0006914	Predicted intracellular proteins	NA	Pancreatic cancer:5.31e-5 (favourable)	Expressed in all	Expressed in all	NA	cerebral cortex: 119.1
MAPRE1	microtubule associated protein RP/EB family member 1	protein	ENSG00000101367	22919	603108	NM_012325	Q15691	uc002wyh.3	32819893	32850405	1	GO:0005815	GO:0008092	GO:0051301	Plasma proteins, Predicted intracellular proteins	Microtubule organizing center<br>Cytosol	Liver cancer:6.33e-4 (unfavourable)	Expressed in all	Expressed in all	NA	smooth muscle: 128.4
MATN4	matrilin 4	protein	ENSG00000124159	8785	603897	NM_003833	O95460	uc061xhd.1	45293445	45308529	-1	GO:0005576	GO:0043167	GO:0030198	Plasma proteins, Predicted secreted proteins	NA	NA	Mixed	Tissue enhanced	breast: 3.0;pancreas: 5.9;skin: 3.5	cervix, uterine: 1.4
MAVS	mitochondrial antiviral signaling protein	protein	ENSG00000088888	57506	609676	NM_001206491	Q7Z434	uc002wjw.5	3846799	3876123	1	GO:0005739	GO:0004871	GO:0044403	Predicted membrane proteins	Mitochondria	Renal cancer:4.13e-5 (favourable), Pancreatic cancer:3.81e-4 (favourable)	Expressed in all	Expressed in all	NA	parathyroid gland: 30.6
MC3R	melanocortin 3 receptor	protein	ENSG00000124089	4159	155540	NM_019888	P41968	uc002xxb.2	56248732	56249815	1	GO:0005622	GO:0004871	GO:0042592	G-protein coupled receptors, Predicted membrane proteins	NA	NA	Not detected	Not detected	NA	testis: 0.1
